Year	Day	Time	OutHum	WindSpeed	Rain	SolarRad	TempOut	Consumption
2015	225	0	88	0	0	0	23	1395.99
2015	225	0.25	87	0.1	-0	0	22.88	1433.79
2015	225	0.5	88	0	0	0	22.78	1451.38
2015	225	0.75	89	-0.1	0	-0	22.76	1453.5
2015	225	1	89	0	0	0	22.89	1444.9
2015	225	1.25	88	0.5	-0	0	23.13	1430.32
2015	225	1.5	87	1	0	0	23.17	1414.52
2015	225	1.75	89	1.2	0	-0	22.72	1402.24
2015	225	2	92	1	0	0	22.11	1398.22
2015	225	2.25	94	0.5	-0	0	21.71	1404.96
2015	225	2.5	95	0	0	0	21.56	1415.99
2015	225	2.75	95	-0.1	0	-0	21.54	1422.58
2015	225	3	95	0	0	0	21.44	1416
2015	225	3.25	96	0	-0	0	21.09	1393.18
2015	225	3.5	97	0	0	0	20.72	1373.61
2015	225	3.75	98	-0	0	-0	20.61	1382.47
2015	225	4	98	0	0	0	20.61	1444.9
2015	225	4.25	99	0	-0	0	20.56	1580.47
2015	225	4.5	99	0	0	0	20.5	1786.44
2015	225	4.75	99	-0	0	-0	20.48	2054.49
2015	225	5	99	0	0	0	20.44	2376.3
2015	225	5.25	99	0	-0	0.1	20.35	2743.05
2015	225	5.5	99	0	0	0	20.22	3143.99
2015	225	5.75	100	-0	0	-0.4	20.12	3567.88
2015	225	6	100	0	0	1	20.11	4003.48
2015	225	6.25	100	0	-0	5.9	20.22	4436.02
2015	225	6.5	99	0	0	14	20.28	4836.67
2015	225	6.75	99	0	0	24.6	20.15	5173.05
2015	225	7	98	0	0	39	20.17	5412.81
2015	225	7.25	97	-0	-0	58.9	20.61	5536.57
2015	225	7.5	96	0	0	86	21.17	5577.01
2015	225	7.75	96	0	0	120.6	21.5	5579.81
2015	225	8	95	0	0	159	21.78	5590.64
2015	225	8.25	93	-0	-0	197.4	22.23	5641.13
2015	225	8.5	91	0	0	237	22.78	5706.69
2015	225	8.75	89	0	0	279	23.27	5748.68
2015	225	9	87	0	0	321	23.67	5728.46
2015	225	9.25	86	-0	-0	360	24	5622.14
2015	225	9.5	85	0	0	395	24.39	5464.89
2015	225	9.75	83	0	0	424.5	24.9	5306.6
2015	225	10	81	0	0	442	25.33	5197.18
2015	225	10.25	80	-0.1	-0	442.8	25.5	5172
2015	225	10.5	79	0	0	435	25.61	5208.19
