Year	Day	Time	OutHum	WindSpeed	Rain	SolarRad	TempOut	Activa	Reactiva
2015	225	0	88	0	0	0	23	2071.49	-6232.22
2015	225	0.125	87	0.1	0	0	22.94	2087.57	-6220.74
2015	225	0.25	87	0.1	-0	0	22.88	2099.47	-6212.24
2015	225	0.375	87	0.1	-0	-0	22.82	2107.63	-6206.42
2015	225	0.5	88	0	0	0	22.78	2112.49	-6202.95
2015	225	0.625	89	-0.1	0	0	22.76	2114.49	-6201.53
2015	225	0.75	89	-0.1	0	-0	22.76	2114.06	-6201.83
2015	225	0.875	89	-0.1	-0	-0	22.8	2111.65	-6203.55
2015	225	1	89	0	0	0	22.89	2107.69	-6206.37
2015	225	1.125	89	0.2	0	0	23.01	2102.63	-6209.99
2015	225	1.25	88	0.5	-0	0	23.13	2096.9	-6214.08
2015	225	1.375	87	0.8	-0	-0	23.2	2090.94	-6218.33
2015	225	1.5	87	1	0	0	23.17	2085.2	-6222.43
2015	225	1.625	88	1.1	0	0	23	2080.11	-6226.06
2015	225	1.75	89	1.2	0	-0	22.72	2076.11	-6228.92
2015	225	1.875	91	1.1	-0	-0	22.41	2073.64	-6230.69
2015	225	2	92	1	0	0	22.11	2073.13	-6231.05
2015	225	2.125	93	0.8	0	0	21.88	2074.82	-6229.84
2015	225	2.25	94	0.5	-0	0	21.71	2078.12	-6227.48
2015	225	2.375	95	0.2	-0	-0	21.61	2082.21	-6224.56
2015	225	2.5	95	0	0	0	21.56	2086.29	-6221.65
2015	225	2.625	95	-0.1	0	0	21.55	2089.55	-6219.33
2015	225	2.75	95	-0.1	0	-0	21.54	2091.17	-6218.17
2015	225	2.875	95	-0	-0	-0	21.52	2090.36	-6218.75
2015	225	3	95	0	0	0	21.44	2086.3	-6221.65
2015	225	3.125	95	0	0	0	21.29	2078.71	-6227.06
2015	225	3.25	96	0	-0	0	21.09	2069.4	-6233.71
2015	225	3.375	96	-0	-0	-0	20.88	2060.69	-6239.93
2015	225	3.5	97	0	0	0	20.72	2054.92	-6244.05
2015	225	3.625	98	0	0	0	20.64	2054.4	-6244.42
2015	225	3.75	98	-0	0	-0	20.61	2061.47	-6239.37
2015	225	3.875	98	-0	-0	-0	20.61	2078.46	-6227.24
2015	225	4	98	0	0	0	20.61	2107.69	-6206.37
2015	225	4.125	98	0	0	0	20.59	2150.98	-6175.47
2015	225	4.25	99	0	-0	0	20.56	2208.06	-6134.72
2015	225	4.375	99	-0	-0	-0	20.53	2278.17	-6084.67
2015	225	4.5	99	0	0	0	20.5	2360.54	-6025.87
2015	225	4.625	99	0	0	0	20.49	2454.4	-5958.86
2015	225	4.75	99	-0	0	-0	20.48	2558.99	-5884.2
2015	225	4.875	99	-0	-0	-0	20.47	2673.52	-5802.44
2015	225	5	99	0	0	0	20.44	2797.23	-5714.13
2015	225	5.125	99	0	0	0	20.4	2929.3	-5619.84
2015	225	5.25	99	0	-0	0.1	20.35	3068.74	-5520.3
2015	225	5.375	99	-0	-0	0.1	20.29	3214.51	-5416.24
2015	225	5.5	99	0	0	0	20.22	3365.57	-5308.41
2015	225	5.625	100	0	0	-0.3	20.16	3520.87	-5197.54
2015	225	5.75	100	-0	0	-0.4	20.12	3679.38	-5084.38
2015	225	5.875	100	-0	-0	-0.1	20.1	3840.06	-4969.68
2015	225	6	100	0	0	1	20.11	4001.87	-4854.17
2015	225	6.125	100	0	0	3	20.16	4163.43	-4738.83
2015	225	6.25	100	0	-0	5.9	20.22	4322.09	-4625.57
2015	225	6.375	99	-0	-0	9.6	20.27	4474.84	-4516.52
2015	225	6.5	99	0	0	14	20.28	4618.7	-4413.83
2015	225	6.625	99	-0	0	18.9	20.22	4750.66	-4319.63
2015	225	6.75	99	0	0	24.6	20.15	4867.73	-4236.05
2015	225	6.875	99	0	-0	31.2	20.11	4966.92	-4165.24
2015	225	7	98	0	0	39	20.17	5045.23	-4109.34
2015	225	7.125	97	-0	0	48.2	20.35	5100.86	-4069.62
2015	225	7.25	97	0	-0	58.9	20.61	5136.85	-4043.93
2015	225	7.375	96	0	-0	71.5	20.9	5157.42	-4029.25
2015	225	7.5	96	0	0	86	21.17	5166.79	-4022.56
2015	225	7.625	96	-0	0	102.5	21.36	5169.2	-4020.84
2015	225	7.75	96	0	0	120.6	21.5	5168.86	-4021.08
2015	225	7.875	96	0	-0	139.6	21.63	5170.01	-4020.26
2015	225	8	95	0	0	159	21.78	5176.88	-4015.36
2015	225	8.125	94	-0	0	178.2	21.98	5192.39	-4004.29
2015	225	8.25	93	0	-0	197.4	22.23	5214.26	-3988.67
2015	225	8.375	92	0	-0	216.9	22.5	5238.92	-3971.06
2015	225	8.5	91	0	0	237	22.78	5262.8	-3954.02
2015	225	8.625	90	-0	0	257.8	23.04	5282.31	-3940.09
2015	225	8.75	89	0	0	279	23.27	5293.88	-3931.83
2015	225	8.875	88	0	-0	300.2	23.48	5293.94	-3931.79
2015	225	9	87	0	0	321	23.67	5278.91	-3942.52
2015	225	9.125	86	-0	0	341	23.84	5246.58	-3965.6
2015	225	9.25	86	0	-0	360	24	5200.2	-3998.71
2015	225	9.375	86	0	-0	378	24.18	5144.39	-4038.55
2015	225	9.5	85	0	0	395	24.39	5083.78	-4081.82
2015	225	9.625	84	-0	0	410.8	24.64	5022.98	-4125.22
2015	225	9.75	83	0	0	424.5	24.9	4966.6	-4165.47
2015	225	9.875	82	0	-0	435.2	25.14	4919.26	-4199.26
2015	225	10	81	0	0	442	25.33	4885.59	-4223.3
2015	225	10.125	80	-0	0	444.2	25.44	4868.86	-4235.24
2015	225	10.25	80	-0.1	-0	442.8	25.5	4866.95	-4236.6
2015	225	10.375	79	-0.1	-0	439.3	25.54	4876.4	-4229.86
2015	225	10.5	79	0	0	435	25.61	4893.74	-4217.48
2015	225	10.625	79	0.2	0	431.5	25.73	4915.52	-4201.94
2015	225	10.75	78	0.5	0	431	25.9	4938.27	-4185.7
2015	225	10.875	77	0.8	-0	435.7	26.12	4958.52	-4171.24
2015	225	11	76	1	0	448	26.39	4972.82	-4161.03
2015	225	11.125	75	1.1	0	469	26.69	4978.5	-4156.97
2015	225	11.25	75	1.1	-0	495.1	26.98	4976.13	-4158.67
2015	225	11.375	75	1	-0	521.4	27.24	4967.07	-4165.14
2015	225	11.5	74	1	0	543	27.44	4952.68	-4175.41
2015	225	11.625	74	1	0	556.1	27.56	4934.33	-4188.51
2015	225	11.75	73	1	0	561.2	27.63	4913.38	-4203.46
2015	225	11.875	72	1	-0	559.7	27.7	4891.2	-4219.3
2015	225	12	71	1	0	553	27.83	4869.14	-4235.05
2015	225	12.125	70	1	0	543.2	28.04	4848.52	-4249.77
2015	225	12.25	69	1	-0	533.6	28.31	4830.38	-4262.71
2015	225	12.375	68	1	-0	528.2	28.57	4815.73	-4273.17
2015	225	12.5	68	1	0	531	28.78	4805.56	-4280.43
2015	225	12.625	68	1	0	543.6	28.88	4800.87	-4283.78
2015	225	12.75	68	1	0	558.7	28.89	4802.66	-4282.5
2015	225	12.875	69	1	-0	566.7	28.83	4811.92	-4275.89
2015	225	13	69	1	0	558	28.72	4829.64	-4263.24
2015	225	13.125	69	0.9	0	527.4	28.59	4856.34	-4244.18
2015	225	13.25	68	0.9	-0	487.3	28.47	4890.59	-4219.73
2015	225	13.375	67	0.9	-0	454.6	28.42	4930.47	-4191.26
2015	225	13.5	67	1	0	446	28.5	4974.07	-4160.14
2015	225	13.625	66	1.2	0	472.3	28.73	5019.46	-4127.73
2015	225	13.75	66	1.4	0	519.8	29.05	5064.73	-4095.41
2015	225	13.875	66	1.7	-0	568.9	29.37	5107.97	-4064.54
2015	225	14	66	2	0	600	29.61	5147.26	-4036.5
2015	225	14.125	66	2.2	0	599	29.7	5181.38	-4012.14
2015	225	14.25	65	2.4	-0	574.7	29.67	5211.95	-3990.32
2015	225	14.375	64	2.6	-0	541.8	29.59	5241.27	-3969.39
2015	225	14.5	64	3	0	515	29.5	5271.65	-3947.7
2015	225	14.625	64	3.5	0	504.3	29.46	5305.41	-3923.6
2015	225	14.75	64	4	0	501.9	29.43	5344.86	-3895.44
2015	225	14.875	64	4.5	-0	495.3	29.39	5392.31	-3861.57
2015	225	15	64	5	0	472	29.28	5450.06	-3820.34
2015	225	15.125	65	5.4	0	424	29.08	5519.55	-3770.73
2015	225	15.25	66	5.8	-0	361	28.81	5598.65	-3714.26
2015	225	15.375	67	6.3	-0	297	28.48	5684.36	-3653.08
2015	225	15.5	68	7	0	246	28.11	5773.66	-3589.33
2015	225	15.625	69	7.9	0	218.2	27.72	5863.55	-3525.16
2015	225	15.75	70	8.8	0	208.8	27.35	5951.03	-3462.71
2015	225	15.875	71	9.6	-0	209	27.02	6033.08	-3404.14
2015	225	16	72	10	0	210	26.78	6106.69	-3351.59
2015	225	16.125	72	9.9	0	205.1	26.64	6168.99	-3307.11
2015	225	16.25	72	9.5	-0	195.4	26.56	6217.66	-3272.37
2015	225	16.375	72	9.1	-0	183.7	26.51	6250.49	-3248.93
2015	225	16.5	72	9	0	173	26.44	6265.28	-3238.37
2015	225	16.625	72	9.4	0	165.4	26.31	6259.84	-3242.26
2015	225	16.75	73	10.1	0	159.8	26.15	6231.96	-3262.16
2015	225	16.875	73	10.8	-0	154.3	25.98	6179.45	-3299.65
2015	225	17	74	11	0	147	25.83	6100.11	-3356.29
2015	225	17.125	75	10.6	0	136.5	25.73	5993.05	-3432.72
2015	225	17.25	75	9.7	-0	123.4	25.67	5862.63	-3525.82
2015	225	17.375	75	8.7	-0	108.9	25.62	5714.52	-3631.55
2015	225	17.5	75	8	0	94	25.56	5554.38	-3745.87
2015	225	17.625	75	7.7	0	79.7	25.47	5387.89	-3864.72
2015	225	17.75	76	7.7	0	66.2	25.35	5220.72	-3984.06
2015	225	17.875	76	7.9	-0	53.3	25.23	5058.53	-4099.84
2015	225	18	76	8	0	41	25.11	4906.99	-4208.02
2015	225	18.125	76	8	0	29.4	25.02	4770.6	-4305.38
2015	225	18.25	76	8	-0	18.9	24.93	4649.18	-4392.06
2015	225	18.375	76	7.9	-0	10.2	24.83	4541.4	-4469.01
2015	225	18.5	77	8	0	4	24.72	4445.9	-4537.18
2015	225	18.625	78	8.3	0	0.6	24.58	4361.34	-4597.54
2015	225	18.75	79	8.6	0	-0.6	24.44	4286.38	-4651.06
2015	225	18.875	80	8.9	-0	-0.5	24.31	4219.66	-4698.69
2015	225	19	80	9	0	0	24.22	4159.85	-4741.39
2015	225	19.125	80	8.8	0	0.3	24.18	4105.54	-4780.16
2015	225	19.25	80	8.5	-0	0.3	24.16	4055.1	-4816.17
2015	225	19.375	80	8.2	-0	0.2	24.15	4006.82	-4850.63
2015	225	19.5	80	8	0	0	24.11	3959.01	-4884.76
2015	225	19.625	80	8.1	0	-0.1	24.03	3909.98	-4919.77
2015	225	19.75	81	8.3	0	-0.1	23.91	3858.02	-4956.86
2015	225	19.875	82	8.7	-0	-0.1	23.79	3801.45	-4997.25
2015	225	20	83	9	0	0	23.67	3738.56	-5042.14
2015	225	20.125	83	9.2	0	0	23.58	3668.05	-5092.47
2015	225	20.25	83	9.2	-0	0	23.52	3590.2	-5148.05
2015	225	20.375	83	9.1	-0	-0	23.5	3505.67	-5208.4
2015	225	20.5	83	9	0	0	23.5	3415.13	-5273.03
2015	225	20.625	83	8.8	0	0	23.53	3319.25	-5341.48
2015	225	20.75	82	8.5	0	-0	23.57	3218.69	-5413.26
2015	225	20.875	82	8.2	-0	-0	23.62	3114.13	-5487.9
2015	225	21	82	8	0	0	23.67	3006.23	-5564.93
2015	225	21.125	82	7.7	0	0	23.71	2896.01	-5643.61
2015	225	21.25	82	7.5	-0	0	23.74	2785.89	-5722.23
2015	225	21.375	82	7.3	-0	-0	23.76	2678.63	-5798.8
2015	225	21.5	81	7	0	0	23.78	2577	-5871.35
2015	225	21.625	80	6.6	0	0	23.8	2483.77	-5937.91
2015	225	21.75	80	6.2	0	-0	23.83	2401.7	-5996.49
2015	225	21.875	80	5.6	-0	-0	23.89	2333.56	-6045.13
