Year	Day	Time	OutHum	WindSpeed	Rain	SolarRad	TempOut	Consumption
2015	225	0	88	0	0	0	23	1395.99
2015	225	0.125	87	0.1	0	0	22.94	1417.71
2015	225	0.25	87	0.1	-0	0	22.88	1433.79
2015	225	0.375	87	0.1	-0	-0	22.82	1444.82
2015	225	0.5	88	0	0	0	22.78	1451.38
2015	225	0.625	89	-0.1	0	0	22.76	1454.08
2015	225	0.75	89	-0.1	0	-0	22.76	1453.5
2015	225	0.875	89	-0.1	-0	-0	22.8	1450.24
2015	225	1	89	0	0	0	22.89	1444.9
2015	225	1.125	89	0.2	0	0	23.01	1438.06
2015	225	1.25	88	0.5	-0	0	23.13	1430.32
2015	225	1.375	87	0.8	-0	-0	23.2	1422.28
2015	225	1.5	87	1	0	0	23.17	1414.52
2015	225	1.625	88	1.1	0	0	23	1407.64
2015	225	1.75	89	1.2	0	-0	22.72	1402.24
2015	225	1.875	91	1.1	-0	-0	22.41	1398.9
2015	225	2	92	1	0	0	22.11	1398.22
2015	225	2.125	93	0.8	0	0	21.88	1400.51
2015	225	2.25	94	0.5	-0	0	21.71	1404.96
2015	225	2.375	95	0.2	-0	-0	21.61	1410.48
2015	225	2.5	95	0	0	0	21.56	1415.99
2015	225	2.625	95	-0.1	0	0	21.55	1420.39
2015	225	2.75	95	-0.1	0	-0	21.54	1422.58
2015	225	2.875	95	-0	-0	-0	21.52	1421.48
2015	225	3	95	0	0	0	21.44	1416
2015	225	3.125	95	0	0	0	21.29	1405.76
2015	225	3.25	96	0	-0	0	21.09	1393.18
2015	225	3.375	96	-0	-0	-0	20.88	1381.42
2015	225	3.5	97	0	0	0	20.72	1373.61
2015	225	3.625	98	0	0	0	20.64	1372.91
2015	225	3.75	98	-0	0	-0	20.61	1382.47
2015	225	3.875	98	-0	-0	-0	20.61	1405.42
2015	225	4	98	0	0	0	20.61	1444.9
2015	225	4.125	98	0	0	0	20.59	1503.37
2015	225	4.25	99	0	-0	0	20.56	1580.47
2015	225	4.375	99	-0	-0	-0	20.53	1675.18
2015	225	4.5	99	0	0	0	20.5	1786.44
2015	225	4.625	99	0	0	0	20.49	1913.22
2015	225	4.75	99	-0	0	-0	20.48	2054.49
2015	225	4.875	99	-0	-0	-0	20.47	2209.2
2015	225	5	99	0	0	0	20.44	2376.3
2015	225	5.125	99	0	0	0	20.4	2554.7
2015	225	5.25	99	0	-0	0.1	20.35	2743.05
2015	225	5.375	99	-0	-0	0.1	20.29	2939.95
2015	225	5.5	99	0	0	0	20.22	3143.99
2015	225	5.625	100	0	0	-0.3	20.16	3353.77
2015	225	5.75	100	-0	0	-0.4	20.12	3567.88
2015	225	5.875	100	-0	-0	-0.1	20.1	3784.92
2015	225	6	100	0	0	1	20.11	4003.48
2015	225	6.125	100	0	0	3	20.16	4221.71
2015	225	6.25	100	0	-0	5.9	20.22	4436.02
2015	225	6.375	99	-0	-0	9.6	20.27	4642.36
2015	225	6.5	99	0	0	14	20.28	4836.67
2015	225	6.625	99	-0	0	18.9	20.22	5014.92
2015	225	6.75	99	0	0	24.6	20.15	5173.05
2015	225	6.875	99	0	-0	31.2	20.11	5307.03
2015	225	7	98	0	0	39	20.17	5412.81
2015	225	7.125	97	-0	0	48.2	20.35	5487.96
2015	225	7.25	97	0	-0	58.9	20.61	5536.57
2015	225	7.375	96	0	-0	71.5	20.9	5564.35
2015	225	7.5	96	0	0	86	21.17	5577.01
2015	225	7.625	96	-0	0	102.5	21.36	5580.26
2015	225	7.75	96	0	0	120.6	21.5	5579.81
2015	225	7.875	96	0	-0	139.6	21.63	5581.37
2015	225	8	95	0	0	159	21.78	5590.64
2015	225	8.125	94	-0	0	178.2	21.98	5611.59
2015	225	8.25	93	0	-0	197.4	22.23	5641.13
2015	225	8.375	92	0	-0	216.9	22.5	5674.44
2015	225	8.5	91	0	0	237	22.78	5706.69
2015	225	8.625	90	-0	0	257.8	23.04	5733.05
2015	225	8.75	89	0	0	279	23.27	5748.68
2015	225	8.875	88	0	-0	300.2	23.48	5748.76
2015	225	9	87	0	0	321	23.67	5728.46
2015	225	9.125	86	-0	0	341	23.84	5684.79
2015	225	9.25	86	0	-0	360	24	5622.14
2015	225	9.375	86	0	-0	378	24.18	5546.76
2015	225	9.5	85	0	0	395	24.39	5464.89
2015	225	9.625	84	-0	0	410.8	24.64	5382.76
2015	225	9.75	83	0	0	424.5	24.9	5306.6
2015	225	9.875	82	0	-0	435.2	25.14	5242.66
2015	225	10	81	0	0	442	25.33	5197.18
2015	225	10.125	80	-0	0	444.2	25.44	5174.58
2015	225	10.25	80	-0.1	-0	442.8	25.5	5172
2015	225	10.375	79	-0.1	-0	439.3	25.54	5184.76
2015	225	10.5	79	0	0	435	25.61	5208.19
2015	225	10.625	79	0.2	0	431.5	25.73	5237.6
2015	225	10.75	78	0.5	0	431	25.9	5268.33
2015	225	10.875	77	0.8	-0	435.7	26.12	5295.69
2015	225	11	76	1	0	448	26.39	5315
2015	225	11.125	75	1.1	0	469	26.69	5322.67
2015	225	11.25	75	1.1	-0	495.1	26.98	5319.47
2015	225	11.375	75	1	-0	521.4	27.24	5307.23
2015	225	11.5	74	1	0	543	27.44	5287.8
2015	225	11.625	74	1	0	556.1	27.56	5263.01
2015	225	11.75	73	1	0	561.2	27.63	5234.71
2015	225	11.875	72	1	-0	559.7	27.7	5204.74
2015	225	12	71	1	0	553	27.83	5174.95
2015	225	12.125	70	1	0	543.2	28.04	5147.09
2015	225	12.25	69	1	-0	533.6	28.31	5122.6
2015	225	12.375	68	1	-0	528.2	28.57	5102.81
2015	225	12.5	68	1	0	531	28.78	5089.08
2015	225	12.625	68	1	0	543.6	28.88	5082.75
2015	225	12.75	68	1	0	558.7	28.89	5085.16
2015	225	12.875	69	1	-0	566.7	28.83	5097.66
2015	225	13	69	1	0	558	28.72	5121.6
2015	225	13.125	69	0.9	0	527.4	28.59	5157.67
2015	225	13.25	68	0.9	-0	487.3	28.47	5203.93
2015	225	13.375	67	0.9	-0	454.6	28.42	5257.8
2015	225	13.5	67	1	0	446	28.5	5316.69
2015	225	13.625	66	1.2	0	472.3	28.73	5378
2015	225	13.75	66	1.4	0	519.8	29.05	5439.15
2015	225	13.875	66	1.7	-0	568.9	29.37	5497.56
2015	225	14	66	2	0	600	29.61	5550.63
2015	225	14.125	66	2.2	0	599	29.7	5596.72
