Year	Day	Time	OutHum	WindSpeed	Rain	SolarRad	TempOut	Activa	Reactiva
2015	225	0	88	0	0	0	23	2071.49	-6232.22
2015	225	0.25	87	0.1	-0	0	22.88	2099.47	-6212.24
2015	225	0.5	88	0	0	0	22.78	2112.49	-6202.95
2015	225	0.75	89	-0.1	0	-0	22.76	2114.06	-6201.83
2015	225	1	89	0	0	0	22.89	2107.69	-6206.37
2015	225	1.25	88	0.5	-0	0	23.13	2096.9	-6214.08
2015	225	1.5	87	1	0	0	23.17	2085.2	-6222.43
2015	225	1.75	89	1.2	0	-0	22.72	2076.11	-6228.92
2015	225	2	92	1	0	0	22.11	2073.13	-6231.05
2015	225	2.25	94	0.5	-0	0	21.71	2078.12	-6227.48
2015	225	2.5	95	0	0	0	21.56	2086.29	-6221.65
2015	225	2.75	95	-0.1	0	-0	21.54	2091.17	-6218.17
2015	225	3	95	0	0	0	21.44	2086.3	-6221.65
2015	225	3.25	96	0	-0	0	21.09	2069.4	-6233.71
2015	225	3.5	97	0	0	0	20.72	2054.92	-6244.05
2015	225	3.75	98	-0	0	-0	20.61	2061.47	-6239.37
2015	225	4	98	0	0	0	20.61	2107.69	-6206.37
2015	225	4.25	99	0	-0	0	20.56	2208.06	-6134.72
2015	225	4.5	99	0	0	0	20.5	2360.54	-6025.87
2015	225	4.75	99	-0	0	-0	20.48	2558.99	-5884.2
2015	225	5	99	0	0	0	20.44	2797.23	-5714.13
2015	225	5.25	99	0	-0	0.1	20.35	3068.74	-5520.3
2015	225	5.5	99	0	0	0	20.22	3365.57	-5308.41
2015	225	5.75	100	-0	0	-0.4	20.12	3679.38	-5084.38
2015	225	6	100	0	0	1	20.11	4001.87	-4854.17
2015	225	6.25	100	0	-0	5.9	20.22	4322.09	-4625.57
2015	225	6.5	99	0	0	14	20.28	4618.7	-4413.83
2015	225	6.75	99	0	0	24.6	20.15	4867.73	-4236.05
2015	225	7	98	0	0	39	20.17	5045.23	-4109.34
2015	225	7.25	97	-0	-0	58.9	20.61	5136.85	-4043.93
2015	225	7.5	96	0	0	86	21.17	5166.79	-4022.56
2015	225	7.75	96	0	0	120.6	21.5	5168.86	-4021.08
2015	225	8	95	0	0	159	21.78	5176.88	-4015.36
2015	225	8.25	93	-0	-0	197.4	22.23	5214.26	-3988.67
2015	225	8.5	91	0	0	237	22.78	5262.8	-3954.02
2015	225	8.75	89	0	0	279	23.27	5293.88	-3931.83
2015	225	9	87	0	0	321	23.67	5278.91	-3942.52
2015	225	9.25	86	-0	-0	360	24	5200.2	-3998.71
2015	225	9.5	85	0	0	395	24.39	5083.78	-4081.82
2015	225	9.75	83	0	0	424.5	24.9	4966.6	-4165.47
2015	225	10	81	0	0	442	25.33	4885.59	-4223.3
2015	225	10.25	80	-0.1	-0	442.8	25.5	4866.95	-4236.6
2015	225	10.5	79	0	0	435	25.61	4893.74	-4217.48
2015	225	10.75	78	0.5	0	431	25.9	4938.27	-4185.7
2015	225	11	76	1	0	448	26.39	4972.82	-4161.03
2015	225	11.25	75	1.1	-0	495.1	26.98	4976.13	-4158.67
2015	225	11.5	74	1	0	543	27.44	4952.68	-4175.41
2015	225	11.75	73	1	0	561.2	27.63	4913.38	-4203.46
2015	225	12	71	1	0	553	27.83	4869.14	-4235.05
2015	225	12.25	69	1	-0	533.6	28.31	4830.38	-4262.71
2015	225	12.5	68	1	0	531	28.78	4805.56	-4280.43
2015	225	12.75	68	1	0	558.7	28.89	4802.66	-4282.5
2015	225	13	69	1	0	558	28.72	4829.64	-4263.24
2015	225	13.25	68	0.9	-0	487.3	28.47	4890.59	-4219.73
2015	225	13.5	67	1	0	446	28.5	4974.07	-4160.14
2015	225	13.75	66	1.4	0	519.8	29.05	5064.73	-4095.41
2015	225	14	66	2	0	600	29.61	5147.26	-4036.5
2015	225	14.25	65	2.4	-0	574.7	29.67	5211.95	-3990.32
2015	225	14.5	64	3	0	515	29.5	5271.65	-3947.7
2015	225	14.75	64	4	0	501.9	29.43	5344.86	-3895.44
2015	225	15	64	5	0	472	29.28	5450.06	-3820.34
2015	225	15.25	66	5.8	-0	361	28.81	5598.65	-3714.26
2015	225	15.5	68	7	0	246	28.11	5773.66	-3589.33
2015	225	15.75	70	8.8	0	208.8	27.35	5951.03	-3462.71
2015	225	16	72	10	0	210	26.78	6106.69	-3351.59
2015	225	16.25	72	9.5	-0	195.4	26.56	6217.66	-3272.37
2015	225	16.5	72	9	0	173	26.44	6265.28	-3238.37
2015	225	16.75	73	10.1	0	159.8	26.15	6231.96	-3262.16
2015	225	17	74	11	0	147	25.83	6100.11	-3356.29
2015	225	17.25	75	9.7	-0	123.4	25.67	5862.63	-3525.82
2015	225	17.5	75	8	0	94	25.56	5554.38	-3745.87
2015	225	17.75	76	7.7	0	66.2	25.35	5220.72	-3984.06
2015	225	18	76	8	0	41	25.11	4906.99	-4208.02
2015	225	18.25	76	8	-0	18.9	24.93	4649.18	-4392.06
2015	225	18.5	77	8	0	4	24.72	4445.9	-4537.18
2015	225	18.75	79	8.6	0	-0.6	24.44	4286.38	-4651.06
2015	225	19	80	9	0	0	24.22	4159.85	-4741.39
2015	225	19.25	80	8.5	-0	0.3	24.16	4055.1	-4816.17
2015	225	19.5	80	8	0	0	24.11	3959.01	-4884.76
