Year	Day	Time	OutHum	WindSpeed	Rain	SolarRad	TempOut	Activa	Reactiva
2015	225	0	88	0	0	0	23	2071.48569390475	-6232.22006625874
2015	225	0.5	88	0	0	0	22.7777777777778	2112.4880602077	-6202.94948876296
2015	225	1	89	0	0	0	22.8888888888889	2107.69060674855	-6206.37427240156
2015	225	1.5	87	1	0	0	23.1666666666667	2085.20211633164	-6222.42825076583
2015	225	2	92	1	0	0	22.1111111111111	2073.13137176129	-6231.04525744705
2015	225	2.5	95	0	0	0	21.5555555555556	2086.28947374633	-6221.65201314001
2015	225	3	95	0	0	0	21.4444444444444	2086.29679461358	-6221.64678695353
2015	225	3.5	97	0	0	0	20.7222222222222	2054.91861869794	-6244.0468924262
2015	225	4	98	0	0	0	20.6111111111111	2107.69060674855	-6206.37427240156
2015	225	4.5	99	0	0	0	20.5	2360.54495542785	-6025.86779251991
2015	225	5	99	0	0	0	20.4444444444444	2797.22962863723	-5714.1293803035
2015	225	5.5	99	0	0	0	20.2222222222222	3365.56756310422	-5308.40695365872
2015	225	6	100	0	0	1	20.1111111111111	4001.86581962176	-4854.16933014649
2015	225	6.5	99	0	0	14	20.2777777777778	4618.69872932666	-4413.827537381
2015	225	7	98	0	0	39	20.1666666666667	5045.22558066573	-4109.34054353509
2015	225	7.5	96	0	0	86	21.1666666666667	5166.7889751439	-4022.55943601477
2015	225	8	95	0	0	159	21.7777777777778	5176.87980918863	-4015.3558385999
2015	225	8.5	91	0	0	237	22.7777777777778	5262.79557291846	-3954.02269500075
2015	225	9	87	0	0	321	23.6666666666667	5278.91183629387	-3942.51769227513
2015	225	9.5	85	0	0	395	24.3888888888889	5083.78226510037	-4081.81587797345
2015	225	10	81	0	0	442	25.3333333333333	4885.59482858171	-4223.29699826901
2015	225	10.5	79	0	0	435	25.6111111111111	4893.74397371822	-4217.47952465103
2015	225	11	76	1	0	448	26.3888888888889	4972.81575497813	-4161.03213124945
2015	225	11.5	74	1	0	543	27.4444444444444	4952.67850355009	-4175.40761812066
2015	225	12	71	1	0	553	27.8333333333333	4869.13805001635	-4235.04508638591
2015	225	12.5	68	1	0	531	28.7777777777778	4805.5637776957	-4280.42919058494
2015	225	13	69	1	0	558	28.7222222222222	4829.64178145948	-4263.24049786647
2015	225	13.5	67	1	0	446	28.5	4974.06757150378	-4160.13849032264
2015	225	14	66	2	0	600	29.6111111111111	5147.25760777097	-4036.50239721032
2015	225	14.5	64	3	0	515	29.5	5271.65172825051	-3947.70050425093
2015	225	15	64	5	0	472	29.2777777777778	5450.06233337364	-3820.33757585938
2015	225	15.5	68	7	0	246	28.1111111111111	5773.66154373385	-3589.32808498173
2015	225	16	72	10	0	210	26.7777777777778	6106.6877981316	-3351.58885999511
2015	225	16.5	72	9	0	173	26.4444444444444	6265.27906170123	-3238.37447046034
2015	225	17	74	11	0	147	25.8333333333333	6100.10508670545	-3356.28809524187
2015	225	17.5	75	8	0	94	25.5555555555556	5554.38312512904	-3745.86553693029
2015	225	18	76	8	0	41	25.1111111111111	4906.98864071668	-4208.02448371705
2015	225	18.5	77	8	0	4	24.7222222222222	4445.90024061885	-4537.18411435282
2015	225	19	80	9	0	0	24.2222222222222	4159.85089384923	-4741.38768422426
2015	225	19.5	80	8	0	0	24.1111111111111	3959.01238043277	-4884.76134289703
2015	225	20	83	9	0	0	23.6666666666667	3738.55736257596	-5042.13874001688
2015	225	20.5	83	9	0	0	23.5	3415.12639451425	-5273.02812686932
2015	225	21	82	8	0	0	23.6666666666667	3006.23071641734	-5564.92866121888
2015	225	21.5	81	7	0	0	23.7777777777778	2576.99568778978	-5871.34895600184
2015	225	22	79	5	0	0	24	2282.13245954139	-6081.84453836244
2015	225	22.5	79	2	0	0	24.2777777777778	2233.52121297265	-6116.54690771703
2015	225	23	87	0	0	0	22.7222222222222	2282.13245954139	-6081.84453836244
2015	225	23.5	88	0	0	0	22.2222222222222	2264.615239591	-6094.34964941579
2015	226	0	88	0	0	0	22.2777777777778	2221.24237884955	-6125.31246439496
2015	226	0.5	89	0	0	0	22	2219.17089249652	-6126.79124738471
